Parameter,Value,Short description,Description,Default value,Essential,,,,
--runThreadN,INT,Threads,Number of threads to run STAR,1,no,,,,
--runRNGseed,INT,--runRNGseed,Random number Generator Seed,777,no,,,,
--outFilterMultimapNmax,INT,--outFilterMultimapNmax,"Maximum number of multiple alignments allowed for a read, if exceeded, read is considered unmapped.",10,no,,
--sjdbScore,INT,--sjdbScore,Extra alignment score for alignmets that cross database junctions,2,no,,,,
--sjdbOverhang,INT,--sjdbOverhang,"Length of the donor/acceptor sequence on each side of the junctions,ideally = (matelength – 1)",100,no,,,
--clip3pNbases,INT,--clip3pNbases,"Number(s) of bases to clip from 3p of each mate. If one value is given, itwill be assumed the same for both mates.",0,no,,,
--clip5pNbases,INT,--clip5pNbases,"Number(s) of bases to clip from 5p of each mate.  If one value is given, itwill be assumed the same for both mates",0,no,,,
--clip3pAdapterMMp,FLOAT,--clip3pAdapterMMp,"Maximum proportion of mismatches for 3p adpater clipping for each mate.If one value is given, it will be assumed the same for both mates.",0.1,no,,,
--clip3pAfterAdapterNbases,INT,--clip3pAfterAdapterNbases,"Number of bases to clip from 3p of each mate after the adapter clipping.If one value is given, it will be assumed the same for both mates.",0,no,,,
--outFilterMultimapScoreRange,INT,--outFilterMultimapScoreRange,The score range below the maximum score for multimapping alignments,1,no,,,,
--outFilterMismatchNmax,INT,--outFilterMismatchNmax,Alignment will be given as output only if it has no more mismatches than this value.,10,no,,,,
--outFilterMismatchNoverLmax,FLOAT,--outFilterMismatchNoverLmax,Alignment will be given as output only if its ratio of mismatches to *mapped*length is less than or equal to this value. (0.1 – 1.0),0.3,no,,,,
--outFilterMismatchNoverReadLmax,FLOAT,--outFilterMismatchNoverReadLmax,Alignment will be given as output only if its ratio of mismatches to *read* length isless than or equal to this value. (0.1 – 1.0),1,no,,,,
--outFilterScoreMin,INT,--outFilterScoreMin,Alignment will be given as output only if its score is higher than or equal to this value.,0,no,,,,
