Parameter,Value,Short description,Description,Default value,Essential
--contamination_fraction_to_filter,FLOAT,Fraction of contamination,Fraction of contamination to aggressively remove,0,no
--dbsnp_normal_lod,FLOAT,LOD threshold,LOD threshold for calling normal non-variant at dbsnp sites,5.5,no
--heterozygosity,FLOAT,Heterozygosity value,Heterozygosity value used to compute prior likelihoods for any locus,0.001,no
--heterozygosity_stdevdardDeviation,FLOAT,Standard deviation of heterozygosity,Standard deviation of heterozygosity for SNP and indel calling.,0.01,no
--indel_heterozygosity,FLOAT,Heterozygosity for indel calling,Heterozygosity for indel calling,0.000125,no
--initial_normal_lod,FLOAT,Initial LOD threshold for calling normal variant,Initial LOD threshold for calling normal variant,0.5,no
--initial_tumor_lod ,FLOAT,Initial LOD threshold for calling tumor variant,Initial LOD threshold for calling tumor variant,4,no
--max_alt_allele_in_normal_fraction ,FLOAT,maximum alternate allele fraction in normal,Threshold for maximum alternate allele fraction in normal,0.03,no
--max_alt_alleles_in_normal_count,INT,maximum alternate allele counts in normal,Threshold for maximum alternate allele counts in normal,1,no
--max_alt_alleles_in_normal_qscore_sum,INT,maximum alternate allele QS sum in normal,Threshold for maximum alternate allele quality score sum in normal,20,no
--maxReadsInRegionPerSample,INT,Maximum reads in an active region,Maximum reads in an active region,1000,no
 -mbq,INT,minbasequalityscore,Minimum base quality required to consider a base for calling,10,yes
 -minReadsPerAlignStart,INT,--minReadsPerAlignmentStart,Minimum number of reads sharing the same alignment start for each genomic location in an active region,5,no
--normal_lod,FLOAT,--normal_lod_threshold,LOD threshold for calling normal non-germline,2.2,no
--pir_mad_threshold,INT,--pir_mad_threshold,threshold for clustered read position artifact MAD,3,no
--pir_median_threshold,INT,threshold for clustered read position artifact median,threshold for clustered read position artifact median,10,no
--power_constant_qscore,INT,Phred scale quality score constant to use in power calculations,Phred scale quality score constant,30,no
 -ploidy,INT,--sample_ploidy,Ploidy per sample. For pooled data  set to (Number of samples in each pool * Sample Ploidy).,2,no
 -stand_call_conf,INT,--standard_min_confidence_threshold_for_calling,The minimum phred-scaled confidence threshold at which variants should be called,10,no
 -ActProbThresh,FLOAT,--activeProbabilityThreshold,Threshold for the probability of a profile state being active.,0.002,no
--gcpHMM,INT,Flat gap continuation penalty,Flat gap continuation penalty for use in the Pair HMM,10,no
 -maxAltAlleles,INT,--max_alternate_alleles,Maximum number of alternate alleles to genotype,6,no
 -maxGT,INT,--max_genotype_count,Maximum number of genotypes to consider at any site,1024,no
 -maxNumPLValues,INT,--max_num_PL_values,Maximum number of PL values to output,100,no
--maxNumHaplotypesInPopulation,INT,--maxNumHaplotypesInPopulation,Maximum number of haplotypes to consider for your population,128,no
--maxReadsInMemoryPerSample,INT,--maxReadsInMemoryPerSample,Maximum reads per sample given to traversal map() function,30000,no
--maxTotalReadsInMemory,INT,--maxTotalReadsInMemory,Maximum total reads given to traversal map() function,10000000,no
--minDanglingBranchLength,INT,--minDanglingBranchLength,Minimum length of a dangling branch to attempt recovery,4,no
--minPruning,INT,--minPruning,Minimum support to not prune paths in the graph,2,no
--numPruningSamples,INT,--numPruningSamples,Number of samples that must pass the minPruning threshold,1,no
-globalMAPQ,INT,--phredScaledGlobalReadMismappingRate,The global assumed mismapping rate for reads,45,no
--activity-profile-out,na,Raw activity profile generation,Output the raw activity profile results in IGV format,na,no
--max-af,FLOAT,--max-population-af,Maximum population allele frequency in tumor-only mode,0.01,no
--base-quality-score-threshold,INT,Base quality Threshold,Base qualities below this threshold will be reduced to the minimum,18,no
--callable-depth,INT,Min callable depth for Mutect stats,Minimum depth to be considered callable for Mutect stats. Does not affect genotyping,10,no
