Parameter,Value,Short description,Description,Default value,Essential
-f,na,FASTA files (us,"The reference input files (specified as <reference_in>) are FASTA files (usually having extension .fa, .mfa, .fna or similar).",na,no
--large-index,na,large index,"Force bowtie2-build to build a large index, even if the reference is less than ~ 4 billion nucleotides inlong.",na,no
-a/--noauto,na,Disable the default behavior ,"Disable the default behavior whereby bowtie2-build automatically selects values for the --bmax, --dcv and --packed parameters according to available memory. Instead, user may specify values for those parameters. If memory is exhausted during indexing, an error message will be printed; it is up to the user to try new parameters.",na,no
-p,na,packed,Use a packed (2-bits-per-nucleotide) representation for DNA strings. This saves memory but makes indexing 2-3 times slower. Default: off. This is configured automatically by default; use -a/--noauto to configure manually.,na,no
--bmax ,INT,bmax ,"The maximum number of suffixes allowed in a block. Allowing more suffixes per block makes indexing faster, but increases peak memory usage. Setting this option overrides any previous setting for --bmax, or --bmaxdivn. Default (in terms of the --bmaxdivn parameter) is --bmaxdivn 4 * number of threads. This is configured automatically by default; use -a/--noauto to configure manually.",na,no
--bmaxdivn ,INT,bmaxdivn ,"The maximum number of suffixes allowed in a block, expressed as a fraction of the length of the reference. Setting this option overrides any previous setting for --bmax, or --bmaxdivn. Default: --bmaxdivn 4 * number of threads. This is configured automatically by default; use -a/--noauto to configure manually.",na,no
--dcv,INT,dcv,"Use <int> as the period for the difference-cover sample. A larger period yields less memory overhead, but may make suffix sorting slower, especially if repeats are present. Must be a power of 2 no greater than 4096. Default: 1024. This is configured automatically by default; use -a/--noauto to configure manually.",na,no
--nodc,na,--nodc,Disable use of the difference-cover sample. Suffix sorting becomes quadratic-time in the worst case (where the worst case is an extremely repetitive reference). Default: off.,na,no
-r,na,--noref,"Do not build the NAME.3.bt2 and NAME.4.bt2 portions of the index, which contain a bitpacked version of the reference sequences and are used for paired-end alignment.",na,no
-3,na,--justref,"Build only the NAME.3.bt2 and NAME.4.bt2 portions of the index, which contain a bitpacked version of the reference sequences and are used for paired-end alignment.",na,no
-o,INT,--offrate ,"To map alignments back to positions on the reference sequences, it’s necessary to annotate (“mark”) some or all of the Burrows-Wheeler rows with their corresponding location on the genome. -o/--offrategoverns how many rows get marked: the indexer will mark every 2^<int> rows. Marking more rows makes reference-position lookups faster, but requires more memory to hold the annotations at runtime. The default is 5 (every 32nd row is marked; for human genome, annotations occupy about 340 megabytes).",na,no
-t,INT,--ftabchars ,The ftab is the lookup table used to calculate an initial Burrows-Wheeler range with respect to the first <int> characters of the query. A larger <int> yields a larger lookup table but faster query times. The ftab has size 4^(<int>+1) bytes. The default setting is 10 (ftab is 4MB).,na,no
--seed ,INT,--seed ,Use <int> as the seed for pseudo-random number generator.,na,no
--cutoff ,INT,--cutoff ,Index only the first <int> bases of the reference sequences (cumulative across sequences) and ignore the rest.,na,no
-q,na,quiet,bowtie2-build is verbose by default. With this option bowtie2-build will print only error messages.,na,no
--threads ,INT,Threads ,By default bowtie2-build is using only one thread. Increasing the number of threads will speed up the index building considerably in most cases.,na,yes
--sra-acc,na,Reads as SRA accessions,Reads are SRA accessions. If the accession provided cannot be found in local storage it will be fetched from the NCBI database,na,no
--interleaved,na,InterleavedReads,Reads interleaved FASTQ files where the first two records (8 lines) represent a mate pair,0,no
-N,INT,Allowed mismatches,Sets the number of mismatches to allowed in a seed alignment during multiseed alignment. Can be set to 0 or 1. Setting this higher makes alignment slower (often much slower) but increases sensitivity,2,no
--ma,INT,Match bonus score,Sets the match bonus. In --local mode <int> is added to the alignment score for each position where a read character aligns to a reference character and the characters match,1,no
--np,INT,Penalty for unknown character,"Sets penalty for positions where the read, reference, or both, contain an ambiguous character such as N",na,no
-b,na,BAM input,Reads are unaligned BAM records sorted by read name,na,no
-S,na,SAM output,"File to write SAM alignments to. By default, alignments are written to the “standard out” or “stdout” filehandle",na,no
--phred33,na,Phred+33 encoding,Input qualities are ASCII chars equal to the Phred quality plus 33. Used by the latest illumina pipelines.,na,no
--phred64,na,Phred+64 encoding,Input qualities are ASCII chars equal to the Phred quality plus 64,na,no
